text,id,all_categories,all_ate,all_polarities,data_origin,text_cleaned,all_categories_old
"Le folosesc de la inceputul sezonului la drumetie si schi. Exteriorul de piele este rezistent si impermeabil daca este tratat suplimentar. Captuseala din interior s-a descusut de doua ori pe 5 centimetri. Daca se remediaza acest defect, produsul va deveni foarte bun.",416299,quality; product,Captuseala din interior s-a descusut de doua ori pe 5 centimetri.;Le folosesc de la inceputul sezonului la drumetie si schi. Exteriorul de piele este rezistent si impermeabil daca este tratat suplimentar.,Negative; Positive,manual,"Le folosesc de la inceputul sezonului la drumetie si schi. Exteriorul de piele este rezistent si impermeabil daca este tratat suplimentar. Captuseala din interior s-a descusut de doua ori pe 5 centimetri. Daca se remediaza acest defect, produsul va deveni foarte bun.",quality;product
"Mai multe cabine de proba,poate ceva muzica :) mai multe oferte 2+1 sau 1 + 50% reducere la al 2lea produs.",416300,promotions; service,"mai multe oferte 2+1 sau 1 + 50% reducere la al 2lea produs.;Mai multe cabine de proba,poate ceva muzica :)",Negative; Negative,manual,"Mai multe cabine de proba,poate ceva muzica :) mai multe oferte 2+1 sau 1 + 50% reducere la al 2lea produs.",promotions;service
"Dupa aproximativ un an de trasee ocazionale in tara, s-a deformat talpa, fiindca au intrat pietricele sub chinga dintre talpa si bocanc. Am fost placut surprinsa cand Decathlon Baneasa a constatat ca este un defect de fabricatie si mi s-a restituit contravaloarea. Felicitari! Cumpar cu incredere produsele Decathlon!",416301,return warranty; product,"Am fost placut surprinsa cand Decathlon Baneasa a constatat ca este un defect de fabricatie si mi s-a restituit contravaloarea.;Dupa aproximativ un an de trasee ocazionale in tara, s-a deformat talpa, fiindca au intrat pietricele sub chinga dintre talpa si bocanc.;Cumpar cu incredere produsele Decathlon!",Positive; Negative; Positive,manual,"Dupa aproximativ un an de trasee ocazionale in tara, s-a deformat talpa, fiindca au intrat pietricele sub chinga dintre talpa si bocanc. Am fost placut surprinsa cand Decathlon Baneasa a constatat ca este un defect de fabricatie si mi s-a restituit contravaloarea. Felicitari! Cumpar cu incredere produsele Decathlon!",return warranty;product;product
"As dori ca personalul angajat in magazinul dumneavoastra sa nu ma oblige sa schimb acest magazin unde, cu toate ca angajatii sunt sub nivelul la care ar trebui sa fie, magazinul ma atrage pentru produsele lui. Aprovizionarea este cam proasta, de exemplu am cautat mai multe modele de pantofi mariemea mea si anume 41 si nu existau pur si simplu acestea. As prefera cind vin in magazinul dumneavoastra sa nu interactionez de niciun fel cu vinzatorii decat sa ii vad ca ma mint in fata sau ca habar nu au ce au in rafturi. Am achizitionet, nu de mult, o bicicleta pentru fiul meu de 6 ani si l-am rugat pe cel de la raion sa imi faca reglajele si eventualele ajustari. Pe acesta l-am intrebat daca e cumva utima bicicleta si daca nu are ceva defectiuni, garantandu-mi ca este in stare perfecta, ajungand acasa sa imi dau seama ca un maner de frana era avariat, ca saua nu se putea ridica sau cobari, ca vitezele nu se schimba corespunzator. In acceasi zi imi cumparasem si eu o bicicleta la care am mai adaugat cateva din accesoriile disponibile in magazin. Ma astept ca fiind un client fidel al magazinului si destul de fregvent, sa nu intampin astfel de nemultumiri. Nu o sa dau exemple cu magazinele dumneavoastra din strainatate pentru ca tin prea mult ca si tara mea sa se alinieze la cele din Europa, in concluzie, rugamintea mea, daca se va lua in considerare acest comentariu, sa ii instruiti mai cu atentie pe angajatii dumneavoastra.Cu bine, pana la urmatoarea intalnire.",416302,staff competency; product; shop diversity,"As dori ca personalul angajat in magazinul dumneavoastra sa nu ma oblige sa schimb acest magazin unde, cu toate ca angajatii sunt sub nivelul la care ar trebui sa fie;magazinul ma atrage pentru produsele lui.;Aprovizionarea este cam proasta, de exemplu am cautat mai multe modele de pantofi mariemea mea si anume 41 si nu existau pur si simplu acestea.",Negative; Positive; Negative,manual,"As dori ca personalul angajat in magazinul dumneavoastra sa nu ma oblige sa schimb acest magazin unde, cu toate ca angajatii sunt sub nivelul la care ar trebui sa fie, magazinul ma atrage pentru produsele lui. Aprovizionarea este cam proasta, de exemplu am cautat mai multe modele de pantofi mariemea mea si anume 41 si nu existau pur si simplu acestea. As prefera cind vin in magazinul dumneavoastra sa nu interactionez de niciun fel cu vinzatorii decat sa ii vad ca ma mint in fata sau ca habar nu au ce au in rafturi. Am achizitionet, nu de mult, o bicicleta pentru fiul meu de 6 ani si l-am rugat pe cel de la raion sa imi faca reglajele si eventualele ajustari. Pe acesta l-am intrebat daca e cumva utima bicicleta si daca nu are ceva defectiuni, garantandu-mi ca este in stare perfecta, ajungand acasa sa imi dau seama ca un maner de frana era avariat, ca saua nu se putea ridica sau cobari, ca vitezele nu se schimba corespunzator. In acceasi zi imi cumparasem si eu o bicicleta la care am mai adaugat cateva din accesoriile disponibile in magazin. Ma astept ca fiind un client fidel al magazinului si destul de fregvent, sa nu intampin astfel de nemultumiri. Nu o sa dau exemple cu magazinele dumneavoastra din strainatate pentru ca tin prea mult ca si tara mea sa se alinieze la cele din Europa, in concluzie, rugamintea mea, daca se va lua in considerare acest comentariu, sa ii instruiti mai cu atentie pe angajatii dumneavoastra.Cu bine, pana la urmatoarea intalnire.",staff competency;product;shop diversity
"La case coda acea 30 m și un singur casier disponibil, deși case deschise erau 6 . Foarte proasta organizarea personalului .",416303,staff competency; environment,"Foarte proasta organizarea personalului .;La case coda acea 30 m și un singur casier disponibil, deși case deschise erau 6",Negative; Negative,manual,"La case coda acea 30 m și un singur casier disponibil, deși case deschise erau 6 . Foarte proasta organizarea personalului .",staff competency;environment
Ultima oară am căutat un ciclocomputer și nu am reușit să identific exact prețul produsului deoarece nu am găsit nici un indiciu pe ambalaj care să- l pot asocia cu prețul afișat pe raft.Am elucidat enigma la casa de marcat.,416304,shop organization,Ultima oară am căutat un ciclocomputer și nu am reușit să identific exact prețul produsului deoarece nu am găsit nici un indiciu pe ambalaj care să- l pot asocia cu prețul afișat pe raft.Am elucidat enigma la casa de marcat.,Negative,manual,Ultima oară am căutat un ciclocomputer și nu am reușit să identific exact prețul produsului deoarece nu am găsit nici un indiciu pe ambalaj care să- l pot asocia cu prețul afișat pe raft.Am elucidat enigma la casa de marcat.,shop organization
"Baietii mi-au ceruit si cantuit schiurile, dar nu au reusit sa imi regleze legaturile plus ca m-au intarziat cu o zi !!",416305,service; staff competency,"Baietii mi-au ceruit si cantuit schiurile, dar nu au reusit sa imi regleze legaturile plus ca m-au intarziat cu o zi !!;Baietii mi-au ceruit si cantuit schiurile, dar nu au reusit sa imi regleze legaturile plus ca m-au intarziat cu o zi !!",Negative; Negative,manual,"Baietii mi-au ceruit si cantuit schiurile, dar nu au reusit sa imi regleze legaturile plus ca m-au intarziat cu o zi !!",service;staff competency
"Decathlon inseamna pentru mine produse de sport low cost, un magazin in care in principiu nu se gasesc produse premium.",416306,quality; price,"Decathlon inseamna pentru mine produse de sport low cost, un magazin in care in principiu nu se gasesc produse premium.;Decathlon inseamna pentru mine produse de sport low cost, un magazin in care in principiu nu se gasesc produse premium.",Negative; Positive,manual,"Decathlon inseamna pentru mine produse de sport low cost, un magazin in care in principiu nu se gasesc produse premium.",quality;price
"PRO: Design deosebit, caratere mari.CONTRA: Functii putine, Neiluminat (seara, noaptea nu se vede nimic), Pret prea mare pentru ceea ce ofera!",416307,product; price,"PRO: Design deosebit, caratere mari.;CONTRA: Functii putine, Neiluminat (seara, noaptea nu se vede nimic),;Pret prea mare pentru ceea ce ofera!",Positive; Negative; Negative,manual,"PRO: Design deosebit, caratere mari.CONTRA: Functii putine, Neiluminat (seara, noaptea nu se vede nimic), Pret prea mare pentru ceea ce ofera!",product;product;price
Cel mai ok magazin de articole sportive de pe piata.,416308,product,Cel mai ok magazin de articole sportive de pe piata.,Positive,manual,Cel mai ok magazin de articole sportive de pe piata.,product
"Am cumparat un produs care avea un pret la raft si la casa am fost taxat cu un pret mai mare. Am observat imediat greseala si personalul a fost amabil sa verifice si sa remedieze greseala. Pana la urma am platit pretul corect, cel afisat la raft.",416309,shop organization; staff competency,"Am cumparat un produs care avea un pret la raft si la casa am fost taxat cu un pret mai mare.;personalul a fost amabil sa verifice si sa remedieze greseala. Pana la urma am platit pretul corect, cel afisat la raft.",Negative; Positive,manual,"Am cumparat un produs care avea un pret la raft si la casa am fost taxat cu un pret mai mare. Am observat imediat greseala si personalul a fost amabil sa verifice si sa remedieze greseala. Pana la urma am platit pretul corect, cel afisat la raft.",shop organization;staff competency
"Cand am cerut explicatii despre cardeul cu de fidelitate de la decathlon, domnisoara nu a stiut sa ne spuna!",416310,staff competency,"Cand am cerut explicatii despre cardeul cu de fidelitate de la decathlon, domnisoara nu a stiut sa ne spuna!",Negative,manual,"Cand am cerut explicatii despre cardeul cu de fidelitate de la decathlon, domnisoara nu a stiut sa ne spuna!",staff competency
Putine produse la articolele de iarna si cele care mai erau le gaseai aruncate pe jos si desperecheate,416311,shop organization; shop diversity,cele care mai erau le gaseai aruncate pe jos si desperecheate;Putine produse la articolele de iarna,Negative; Negative,manual,Putine produse la articolele de iarna si cele care mai erau le gaseai aruncate pe jos si desperecheate,shop organization;shop diversity
"Ridicati stacheta calitatii produselor, nu o coborati !Fata de anul deschiderii magazinului calitatea unor produse a scazut simtitor.Profitul pe care-l face Franta in Romania este unul frumos iar clientii merita aceeasi calitate ca si in Franta .Clientii sunt din clasa  medie si inalta  si nu dorim sa fim tratati ca cetateni de mana a doua ...Deci STACHETA CAT MAI SUS .  MERCI !",416312,quality,"Ridicati stacheta calitatii produselor, nu o coborati !Fata de anul deschiderii magazinului calitatea unor produse a scazut simtitor.Profitul pe care-l face Franta in Romania este unul frumos iar clientii merita aceeasi calitate ca si in Franta .Clientii sunt din clasa medie si inalta si nu dorim sa fim tratati ca cetateni de mana a doua ...Deci STACHETA CAT MAI SUS . MERCI !",Negative,manual,"Ridicati stacheta calitatii produselor, nu o coborati !Fata de anul deschiderii magazinului calitatea unor produse a scazut simtitor.Profitul pe care-l face Franta in Romania este unul frumos iar clientii merita aceeasi calitate ca si in Franta .Clientii sunt din clasa medie si inalta si nu dorim sa fim tratati ca cetateni de mana a doua ...Deci STACHETA CAT MAI SUS . MERCI !",quality
"Cand ajunge aproape de tinta traictoria se modifica putin, astfel coada are o miscare ciudata.",416313,product,"Cand ajunge aproape de tinta traictoria se modifica putin, astfel coada are o miscare ciudata.",Negative,manual,"Cand ajunge aproape de tinta traictoria se modifica putin, astfel coada are o miscare ciudata.",product
Cauciucurile de bicicleta pe care le-am cumparat erau trecute la raft cu 35 ron iar pe bon am observat acasa ca erau 55ron.,416314,shop organization,Cauciucurile de bicicleta pe care le-am cumparat erau trecute la raft cu 35 ron iar pe bon am observat acasa ca erau 55ron.,Negative,manual,Cauciucurile de bicicleta pe care le-am cumparat erau trecute la raft cu 35 ron iar pe bon am observat acasa ca erau 55ron.,shop organization
Personalul decathlon lipsea. Am stat 30 de minute in magazin si nu am gasit pe nimeni sa ma ajute sau sa imi dea un sfat.,416315,staff availability,Personalul decathlon lipsea. Am stat 30 de minute in magazin si nu am gasit pe nimeni sa ma ajute sau sa imi dea un sfat.,Negative,manual,Personalul decathlon lipsea. Am stat 30 de minute in magazin si nu am gasit pe nimeni sa ma ajute sau sa imi dea un sfat.,staff availability
Am făcut o comanda in magazin acum 16 zile. Până în momentul asta nu am fost contactat. În ultimile 3 zile am tot încercat sa aflu daca mai primesc comanda. A 3-a comanda s-a efectuat azi...,416316,delivery,Am făcut o comanda in magazin acum 16 zile. Până în momentul asta nu am fost contactat. În ultimile 3 zile am tot încercat sa aflu daca mai primesc comanda. A 3-a comanda s-a efectuat azi...,Negative,manual,Am făcut o comanda in magazin acum 16 zile. Până în momentul asta nu am fost contactat. În ultimile 3 zile am tot încercat sa aflu daca mai primesc comanda. A 3-a comanda s-a efectuat azi...,delivery
Nu am mai fost la Theodor Palady. a fost prima data si nu prea mi-a placut. Poate pentru ca sunt obisnuita cu magazinul pe care il aveti in militari,416317,environment,Nu am mai fost la Theodor Palady. a fost prima data si nu prea mi-a placut. Poate pentru ca sunt obisnuita cu magazinul pe care il aveti in militari,Negative,manual,Nu am mai fost la Theodor Palady. a fost prima data si nu prea mi-a placut. Poate pentru ca sunt obisnuita cu magazinul pe care il aveti in militari,environment
"Stocul de pe site nu este actualizat in timp real iar in lipsa stocului pentru un anumit produs, timpul in care esti contactat e foarte luuuung.",416318,tech support; shop organization,"Stocul de pe site nu este actualizat in timp real iar in lipsa stocului pentru un anumit produs, timpul in care esti contactat e foarte luuuung.;Stocul de pe site nu este actualizat in timp real iar in lipsa stocului pentru un anumit produs, timpul in care esti contactat e foarte luuuung.",Negative; Negative,manual,"Stocul de pe site nu este actualizat in timp real iar in lipsa stocului pentru un anumit produs, timpul in care esti contactat e foarte luuuung.",tech support;shop organization
Am făcut o comandă pe numele meu acum 2 săptămâni aproximativ și am rugat persoana de la dep. articole de pescuit să mă anunțe telefonic când vor ajunge produsele respective. Nu numai ca nu am fost anunțat dar produsele au fost scoase la raft putând fi cumpărate de oricine.,416319,service; staff competency,Am făcut o comandă pe numele meu acum 2 săptămâni aproximativ și am rugat persoana de la dep. articole de pescuit să mă anunțe telefonic când vor ajunge produsele respective. Nu numai ca nu am fost anunțat dar produsele au fost scoase la raft putând fi cumpărate de oricine.;Am făcut o comandă pe numele meu acum 2 săptămâni aproximativ și am rugat persoana de la dep. articole de pescuit să mă anunțe telefonic când vor ajunge produsele respective. Nu numai ca nu am fost anunțat dar produsele au fost scoase la raft putând fi cumpărate de oricine.,Negative; Negative,manual,Am făcut o comandă pe numele meu acum 2 săptămâni aproximativ și am rugat persoana de la dep. articole de pescuit să mă anunțe telefonic când vor ajunge produsele respective. Nu numai ca nu am fost anunțat dar produsele au fost scoase la raft putând fi cumpărate de oricine.,service;staff competency
Personalul mi-a confirmat că produsul căutat (o baterie cr 2025) se află în magazin însă nu au reușit să îl găsească.,416320,staff competency,Personalul mi-a confirmat că produsul căutat (o baterie cr 2025) se află în magazin însă nu au reușit să îl găsească.,Negative,manual,Personalul mi-a confirmat că produsul căutat (o baterie cr 2025) se află în magazin însă nu au reușit să îl găsească.,staff competency
"La penultima vizita, inainte de Craciun, persoana de la casa a omis sa-mi ceara cardul de fidelitate, iar cumparaturile de aprox 200 ron nu s-au contabilizat pe card....ceea ce ma duce cu gandul ca      """" o faceti intentionat?""""",416321,staff competency,"La penultima vizita, inainte de Craciun, persoana de la casa a omis sa-mi ceara cardul de fidelitate, iar cumparaturile de aprox 200 ron nu s-au contabilizat pe card....ceea ce ma duce cu gandul ca """" o faceti intentionat?""""",Negative,manual,"La penultima vizita, inainte de Craciun, persoana de la casa a omis sa-mi ceara cardul de fidelitate, iar cumparaturile de aprox 200 ron nu s-au contabilizat pe card....ceea ce ma duce cu gandul ca """" o faceti intentionat?""""",staff competency
"Daca si personalul ar fi saritor, usor accesibil si cu cunostiintele necesare ar insemna ceva",416322,staff competency,"Daca si personalul ar fi saritor, usor accesibil si cu cunostiintele necesare ar insemna ceva",Negative,manual,"Daca si personalul ar fi saritor, usor accesibil si cu cunostiintele necesare ar insemna ceva",staff competency
"Singura problema care m-a deranjat usor,a fost  atitudinea neadecvata a unor angajati...exista modalitati si modalitati de a transmite  informatii sau cerinte..",416323,staff competency,"Singura problema care m-a deranjat usor,a fost atitudinea neadecvata a unor angajati...exista modalitati si modalitati de a transmite informatii sau cerinte..",Negative,manual,"Singura problema care m-a deranjat usor,a fost atitudinea neadecvata a unor angajati...exista modalitati si modalitati de a transmite informatii sau cerinte..",staff competency
Firma de curierat e problema ..de produse aunt multumit dar cand vine vorba de livrare ..lasa de dorit!,416324,delivery; product,Firma de curierat e problema ..de produse aunt multumit dar cand vine vorba de livrare ..lasa de dorit!;de produse aunt multumit,Negative; Positive,manual,Firma de curierat e problema ..de produse aunt multumit dar cand vine vorba de livrare ..lasa de dorit!,delivery;product
Va lipsesc scannere fixe de preturi.  Macar 2 pe magazin.,416325,service,Va lipsesc scannere fixe de preturi. Macar 2 pe magazin.,Negative,manual,Va lipsesc scannere fixe de preturi. Macar 2 pe magazin.,service
lipsuri mari din magazin. Produse care apar pe site dar sunt lipsa in magazin,416326,shop diversity; shop organization,lipsuri mari din magazin;Produse care apar pe site dar sunt lipsa in magazin,Negative; Negative,manual,lipsuri mari din magazin. Produse care apar pe site dar sunt lipsa in magazin,shop diversity;shop organization
"Ceara aplicata a tinut 3 ture, s-a polizat mult prea mult din talpa(a inceput sa se vada lipitura cantului in partea inferioara a schiului fara ca talpa sa mai fi fost polizata si reparata pana acuma), termenul nu a fost respectat.",416327,service; staff competency,"Ceara aplicata a tinut 3 ture, s-a polizat mult prea mult din talpa(a inceput sa se vada lipitura cantului in partea inferioara a schiului fara ca talpa sa mai fi fost polizata si reparata pana acuma), termenul nu a fost respectat.;Ceara aplicata a tinut 3 ture, s-a polizat mult prea mult din talpa(a inceput sa se vada lipitura cantului in partea inferioara a schiului fara ca talpa sa mai fi fost polizata si reparata pana acuma), termenul nu a fost respectat.",Negative; Negative,manual,"Ceara aplicata a tinut 3 ture, s-a polizat mult prea mult din talpa(a inceput sa se vada lipitura cantului in partea inferioara a schiului fara ca talpa sa mai fi fost polizata si reparata pana acuma), termenul nu a fost respectat.",service;staff competency
"Doua case deschise cu cate 8-10 persoane la rând , iar in magazin multi angajati care nu erau ocupati.",416328,service; staff competency,Doua case deschise cu cate 8-10 persoane la rând;in magazin multi angajati care nu erau ocupati,Negative; Negative,manual,"Doua case deschise cu cate 8-10 persoane la rând , iar in magazin multi angajati care nu erau ocupati.",service;staff competency
"La ultima comanda, produsul cumpărat prezenta serioase deficienţe calitative. Doar amabilitatea personalului şi promptitudinea personalului în rezolvarea problemelor m-au determinat să nu refuz recepţionarea produsului sau să anulez comanda.",416329,staff competency; quality,"Doar amabilitatea personalului şi promptitudinea personalului în rezolvarea problemelor m-au determinat să nu refuz recepţionarea produsului sau să anulez comanda.;La ultima comanda, produsul cumpărat prezenta serioase deficienţe calitative.",Positive; Negative,manual,"La ultima comanda, produsul cumpărat prezenta serioase deficiențe calitative. Doar amabilitatea personalului și promptitudinea personalului în rezolvarea problemelor m-au determinat să nu refuz recepționarea produsului sau să anulez comanda.",staff competency;quality
"Copiii care erau pe biciclete, trotinete si erau raspanditi prin  tot magazinul incercand sa se plimbe cu ele. Chiar cred ca ar trebui sa fie lasati doar printr-o anume zona si sa li se interzica sa se plimbe printre toate rafturile cu bicicletele si trotinetele. Nu as avea nimic impotriva celor care stiu sa foloseasca aceste produse, dar in mare parte cei care """"umblau liberi"""" nu stiau sa foloseasca produsele si eu m-am ferit de vreo 3 sa nu intre in mine. Din punctul meu de vedere asta este un mare minus.",416330,environment,"Copiii care erau pe biciclete, trotinete si erau raspanditi prin tot magazinul incercand sa se plimbe cu ele. Chiar cred ca ar trebui sa fie lasati doar printr-o anume zona si sa li se interzica sa se plimbe printre toate rafturile cu bicicletele si trotinetele. Nu as avea nimic impotriva celor care stiu sa foloseasca aceste produse, dar in mare parte cei care """"umblau liberi"""" nu stiau sa foloseasca produsele si eu m-am ferit de vreo 3 sa nu intre in mine. Din punctul meu de vedere asta este un mare minus.",Negative,manual,"Copiii care erau pe biciclete, trotinete si erau raspanditi prin tot magazinul incercand sa se plimbe cu ele. Chiar cred ca ar trebui sa fie lasati doar printr-o anume zona si sa li se interzica sa se plimbe printre toate rafturile cu bicicletele si trotinetele. Nu as avea nimic impotriva celor care stiu sa foloseasca aceste produse, dar in mare parte cei care """"umblau liberi"""" nu stiau sa foloseasca produsele si eu m-am ferit de vreo 3 sa nu intre in mine. Din punctul meu de vedere asta este un mare minus.",environment
Spatiu mai mare pentru a putea exprima aspectele pozitive sau negative ale unui produs,416331,tech support,Spatiu mai mare pentru a putea exprima aspectele pozitive sau negative ale unui produs,Negative,manual,Spatiu mai mare pentru a putea exprima aspectele pozitive sau negative ale unui produs,tech support
"Mult mai multa grija la aranjarea pe raft in functie de model si marime, evitarea out of stock",416332,shop organization,"Mult mai multa grija la aranjarea pe raft in functie de model si marime, evitarea out of stock",Negative,manual,"Mult mai multa grija la aranjarea pe raft in functie de model si marime, evitarea out of stock",shop organization
La încălțăminte parerea mea este ca mai bine te deplaseze la cel mai apropiat magazin si le probezi.Eu am comandat două perechi de cizme de zăpadă pt mine si fiul si nu s-au potrivit.Din această cauză nu recomand site-ul.,416333,product,La încălțăminte parerea mea este ca mai bine te deplaseze la cel mai apropiat magazin si le probezi.Eu am comandat două perechi de cizme de zăpadă pt mine si fiul si nu s-au potrivit.Din această cauză nu recomand site-ul.,Negative,manual,La încălțăminte parerea mea este ca mai bine te deplaseze la cel mai apropiat magazin si le probezi.Eu am comandat două perechi de cizme de zăpadă pt mine si fiul si nu s-au potrivit.Din această cauză nu recomand site-ul.,product
O mai mare amabilitate la casa. Inainte erau puse produsele in pungi la casa. Acum au fost aruncate intr-o cutie la casa si am fost nevoiti sa le punem noi in pungi. Am solicitat si pungi. Preturi lipsa la raft. Produse fara ambalaj.,416334,staff competency; shop organization,O mai mare amabilitate la casa. Inainte erau puse produsele in pungi la casa. Acum au fost aruncate intr-o cutie la casa si am fost nevoiti sa le punem noi in pungi. Am solicitat si pungi.;Preturi lipsa la raft. Produse fara ambalaj.,Negative; Negative,manual,O mai mare amabilitate la casa. Inainte erau puse produsele in pungi la casa. Acum au fost aruncate intr-o cutie la casa si am fost nevoiti sa le punem noi in pungi. Am solicitat si pungi. Preturi lipsa la raft. Produse fara ambalaj.,staff competency;shop organization
Am cumparat 2 camere Btwin iar una din ele se desumfla la 2 zile. Camerele au fost rulate maxim 10 km,416335,product,Am cumparat 2 camere Btwin iar una din ele se desumfla la 2 zile. Camerele au fost rulate maxim 10 km,Negative,manual,Am cumparat 2 camere Btwin iar una din ele se desumfla la 2 zile. Camerele au fost rulate maxim 10 km,product
"Lipsa permanenta de stocuri, ma enervează faptul ca pe site gasesc produsele dorite dar în magazin nu le pot vedea. Lipsa stoc, la echipamentele sportive e important sa vezi produsele in magazin.",416336,shop diversity; shop organization,Lipsa permanenta de stocuri;ma enervează faptul ca pe site gasesc produsele dorite dar în magazin nu le pot vedea.,Negative; Negative,manual,"Lipsa permanenta de stocuri, ma enervează faptul ca pe site gasesc produsele dorite dar în magazin nu le pot vedea. Lipsa stoc, la echipamentele sportive e important sa vezi produsele in magazin.",shop diversity;shop organization
Ati marit pretul unui produs in decurs de cateva zile. Am cumparat ghetute masura 37 cu un pret iar o saptamana mai tarziu am luat aceleasi ghetute masura 27 mai scump. Sa inteleg ca marirea pretului a fost dictata de racirea vremii in cursul acestei saptamani? Dezamagitor!!!,416337,price,Ati marit pretul unui produs in decurs de cateva zile. Am cumparat ghetute masura 37 cu un pret iar o saptamana mai tarziu am luat aceleasi ghetute masura 27 mai scump. Sa inteleg ca marirea pretului a fost dictata de racirea vremii in cursul acestei saptamani? Dezamagitor!!!,Negative,manual,Ati marit pretul unui produs in decurs de cateva zile. Am cumparat ghetute masura 37 cu un pret iar o saptamana mai tarziu am luat aceleasi ghetute masura 27 mai scump. Sa inteleg ca marirea pretului a fost dictata de racirea vremii in cursul acestei saptamani? Dezamagitor!!!,price
"pretul unui produs apare pe raft si cutia acestuia , dar produsul in sine nu este . Timp de o saptamana am tot fost si aceeasi situatie . mai ales ca de fiecare data am intrebat despe produs si nu s-au luat masuri.La casa s-a scanat un produs de mai multe ori ,am observat putin dupa iesire , pt. returnarea banilor am asteptat aprox, 20 de min.Personal fara nici un chef de viata . Amabilitate zero !",416338,shop organization; staff competency,"pretul unui produs apare pe raft si cutia acestuia , dar produsul in sine nu este . Timp de o saptamana am tot fost si aceeasi situatie . mai ales ca de fiecare data am intrebat despe produs si nu s-au luat masuri.La casa s-a scanat un produs de mai multe ori ,am observat putin dupa iesire , pt. returnarea banilor am asteptat aprox, 20 de min.;Personal fara nici un chef de viata . Amabilitate zero !",Negative; Negative,manual,"pretul unui produs apare pe raft si cutia acestuia , dar produsul in sine nu este . Timp de o saptamana am tot fost si aceeasi situatie . mai ales ca de fiecare data am intrebat despe produs si nu s-au luat masuri.La casa s-a scanat un produs de mai multe ori ,am observat putin dupa iesire , pt. returnarea banilor am asteptat aprox, 20 de min.Personal fara nici un chef de viata . Amabilitate zero !",shop organization;staff competency
"Din păcate am comandat un produs și am primit alt produs.Asta e nu am returnat pt.ca nu am mai vrut  sa pierd vremea pt 50Ron dar ,va fii ultima comanda online,garantat!!",416339,delivery,"Din păcate am comandat un produs și am primit alt produs.Asta e nu am returnat pt.ca nu am mai vrut sa pierd vremea pt 50Ron dar ,va fii ultima comanda online,garantat!!",Negative,manual,"Din păcate am comandat un produs și am primit alt produs.Asta e nu am returnat pt.ca nu am mai vrut sa pierd vremea pt 50Ron dar ,va fii ultima comanda online,garantat!!",delivery
"Sunt dezamăgită de ultima vizită, deoarece pe bon mi s-a adăugat în plus şi un produs de 19,99 lei pe care nu l-am achiziţionat. Am văzut pe bon când am ajuns acasă şi nu m-am mai întors să fac reclamaţie.Al doilea aspect: punctele nu au fost adăugate pe cardul de fidelitate.",416340,shop organization; service,"Sunt dezamăgită de ultima vizită, deoarece pe bon mi s-a adăugat în plus şi un produs de 19,99 lei pe care nu l-am achiziţionat. Am văzut pe bon când am ajuns acasă şi nu m-am mai întors să fac reclamaţie.;punctele nu au fost adăugate pe cardul de fidelitate",Negative; Negative,manual,"Sunt dezamăgită de ultima vizită, deoarece pe bon mi s-a adăugat în plus și un produs de 19,99 lei pe care nu l-am achiziționat. Am văzut pe bon când am ajuns acasă și nu m-am mai întors să fac reclamație.Al doilea aspect: punctele nu au fost adăugate pe cardul de fidelitate.",shop organization;service
Produsele prezente in magazin nu au un standard de calitate si garantie marcat pe ele,416341,quality; return warranty,Produsele prezente in magazin nu au un standard de calitate si garantie marcat pe ele;Produsele prezente in magazin nu au un standard de calitate si garantie marcat pe ele,Negative; Negative,manual,Produsele prezente in magazin nu au un standard de calitate si garantie marcat pe ele,quality;return warranty
"eroare la facturare (la casa), mi s-a pus de doua ori acelasi produs",416342,service,"eroare la facturare (la casa), mi s-a pus de doua ori acelasi produs",Negative,manual,"eroare la facturare (la casa), mi s-a pus de doua ori acelasi produs",service
"In doua luni de la cumparare  captuseala interioara este deja rupta si cusaturile au inceput sa se destrame. Pacat, ma voi orienta catre alta marca , intre timp sper sa imi fac timp sa aflu la ce se refera garantia aia de 2 ani .",416343,quality,"In doua luni de la cumparare captuseala interioara este deja rupta si cusaturile au inceput sa se destrame. Pacat, ma voi orienta catre alta marca , intre timp sper sa imi fac timp sa aflu la ce se refera garantia aia de 2 ani .",Negative,manual,"In doua luni de la cumparare captuseala interioara este deja rupta si cusaturile au inceput sa se destrame. Pacat, ma voi orienta catre alta marca , intre timp sper sa imi fac timp sa aflu la ce se refera garantia aia de 2 ani .",quality
Am cautat o geaca si au doar marimi s si xxxl,416344,shop diversity,Am cautat o geaca si au doar marimi s si xxxl,Negative,manual,Am cautat o geaca si au doar marimi s si xxxl,shop diversity
"Mai multa atentie la CLIENTII FIDELI (si nu numai) si mai multa investitie, din partea dumneavoastra, in personal, pentru veti pierde clienti din cauza personalului necorespunzator...calitatii magazinului dumneavoastra. Magazinul nu e de vina...oamenii care il populeaza...( si unii clienti, dar si angajatii).                                                             Va multumesc",416345,staff competency,"Mai multa atentie la CLIENTII FIDELI (si nu numai) si mai multa investitie, din partea dumneavoastra, in personal, pentru veti pierde clienti din cauza personalului necorespunzator...calitatii magazinului dumneavoastra. Magazinul nu e de vina...oamenii care il populeaza...( si unii clienti, dar si angajatii). Va multumesc",Negative,manual,"Mai multa atentie la CLIENTII FIDELI (si nu numai) si mai multa investitie, din partea dumneavoastra, in personal, pentru veti pierde clienti din cauza personalului necorespunzator...calitatii magazinului dumneavoastra. Magazinul nu e de vina...oamenii care il populeaza...( si unii clienti, dar si angajatii). Va multumesc",staff competency
