absa_input,absa_target,data_origin
Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: astept sa ma contactati..nu am primit niciun raspuns din partea dvs.... </s>,service is negative,manual
"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Ultima vizită în magazinul Decathlon din Tg. Mureș s-a soldat cu o impresie slabă în relație cu o informație primită la casa de marcat. Deși am făcut cumpărături de 600 lei am solicitat un umeraș pentru o pereche de pantaloni de ski achiziționați (sunt mai pretențioși în a fi depozitați în dupal, fiind destul de voluminoși). Am primit un răspuns din punctul meu de vedere lipsit de respect: nu avem voie să dăm umerașele deoarece ele trebuiesc reciclate. Fără comentarii. </s>",staff competency is negative,manual
"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Nu sunt multumit de faptul ca articolul/produsul (in cazul de fata bicicleta) ramane in atelierul din magazinul Decathlon pentru 24/48 ore (in cazul de fata 48 ore), dar eu nu stiu daca cu adevarat s-a realizat revizia acesteia... trebuie sa va cred pe cuvant. De ce nu faceti reviziile/reparatiile in fata clientului pe baza de programare? Asa veti inlatura orice urma de indoiala din partea clientului fata de serviciul prestat. </s>",service is negative,manual
"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Am fost nemultumit de amabilitatea si disponibilitatea la departamentul de biciclete. Am asteptat mult cu o bicicleta de montat de copil, un alt client mi a luat locul in fata, bicicleta noua din.pachet nu mai erau se pare asa ca am.luat o pe cea de testat </s>",service is negative; staff competency is negative,manual
"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Buna ! La cumparaturi de 50,100,300,400 de roni de ce nu isi permite Dechatlon ca sa deie plasa pe gratis ? Ultima cumparatura era comandat online ( un adapost fresh )cu ridicare de la magazin . Produsul era la casa intro plasa cu emblema firmei dechatlon. Vinzatorul m-a intrebat daca doresc plasa cu 0.7 bani si dupa ce raspunsul meu era negativ l-a aruncat la cos ! Cu o zi inainte a-m cumparat 4 produse ( imbracaminte ) care tot asa mi le-au pus in brate ! Caserita zimbind flegmatic ca nu am 0.7 bani pt plasa . Daca cumva mai trec pragul magazinului ma pregatesc cu plase....sau cu bani mai multi sa am si pt plase sau poat ar fi mai bine sa ma duc la magazine la care le permite legea sa deie la client in ce sa puna cumparaturile ! </s>",service is negative; staff competency is negative,manual
"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: la deschiderea magazinului mi s-a promis un voucher de reducere, pe care nu l-am primit.personalul din magazin a dat din umeri, au mentionat ca nu au cunostinta de voucher. nu am gasit toate produsele in magazin </s>",service is negative; staff competency is negative; shop diversity is negative,manual
"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Ar trebui să vă educați personalul. Măcar un simplu curs de vânzări. Sau dacă nu aveți bani pentru """"specializare"""", măcar primele reguli de bază:1. ZÂMBEȘTE2. ÎNCEARCĂ SĂ NU ÎNCEPI O PROPOZIȚIE CU """"NU"""".Iar când ar incasa mai multi bani din neatenție, ar trebui sa fie mai înțelegători.Clientul doar vine să-și recupereze banii. Dar in loc de înțelegere găsesc un personal nervos, care nici nu vrea sa asculte... Parca era la grădiniță...În rest, la cât mai multe produse. Copiii mei sunt îndrăgostiti de magazin. </s>",staff competency is negative,manual
Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Am făcut comanda in 24 ianuarie si nu s-a livrat nici in 5 Februarie. </s>,delivery is negative,manual
Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Mai mulți agenți în magazine ptr oferirea de relații către clienți </s>,staff availability is negative,manual
"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Atitudinea sefului de raion,cred ca asta era d.ra, la schimbarea unui produs (acelasi -alta masura) a fost dezamagitoare. A lasat impresia ca imi face un favor,nu ca era o obligatie legala in termenul prevazut de lege de 30 zile. Mentionez ca i-am relatat faptul ca produsul a fost primit cadou cu o zi in urma ,iar dumneai insista daca am probat produsul?!!!! </s>",staff competency is negative,manual
"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: La majoritatea incaltarilor sport tip mers, pentru barbati, nu am gasit nr 46. Doar 45 si 47. A trebuit sa comand din alte surse, pe internet. Am fost dezamagit, decathlon este de obicei prima mea optiune. Sper sa fie un caz izolat </s>",shop diversity is negative,manual
"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Caut o centura de lestare cu 7 kg de greutati de plumb. Am incercat prima data la Constanta, dar dupa lansarea comenzii si o alta vizita de verificare a sosit centura cu 1kg de plumb. Mi se sfarseau zilele libere si nu puteam folosi centura insuficient lestata. Ieri am facut comanda in localitatea de domiciliu. Lucratoarea care s-a ocupat de comanda a fost excelenta, dar a intampinat urmatoarele greutati la alte magazine Decathlon din tara: stocurile din calculator nu coincideau cu realitatea; insuficient personal sau insuficient instruit sa ofere informatii referitoare la stocul real; nu am putut gasi in Romania cele 7 kg de lest. Azi am luat legatura din nou cu persoana care s-a ocupat de comanda, sa caute ultimul kg de lest. Astept raspuns telefonic. </s>",staff competency is positive; shop organization is negative; staff availability is negative; shop diversity is negative; service is negative,manual
Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Nu corespund preturile de la raft cu cele de la casa </s>,shop organization is negative,manual
Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: S-a rupt a doua vergea (cea de lângă vârf) cu o roșioară de nici 100 de grame! </s>,product is negative; quality is negative,manual
"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Produsele erau imprastiate in raionul de fitness (haltere, gantere, etc.) si multe dintre ele nu aveau pret sau aveau preturi eronate. Nu se intelegea clar carui produs ii corespunde pretul. Am chemat angajatul responsabil cu raionul respectiv (ceea ce a durat ceva), iar cad dansul a ajuns am intrebat despre pretul unui produs, iar acesta mi-a dat un pret eronat (o greutate de 10Kg). </s>",shop organization is negative; staff competency is negative,manual
"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Cred ca tirg muresenii merita un magazin la fel de mare si bine dotat ca cel din Cluj. Multi tirg mureseni inca se duc la Cluj pentru ca aici nu sunt la fel de multe produse. Am impresia ca ati venit aici cu trei toale pe un spatiu de 2x2, ca la o ruda mai saraca a oraselor asa zis mai mari. . Pacat.. Mai jos bifez DA la recomandare dar nu pentru magazinul din Tirgu Mures ci pentru cele din Cluj si Bcucuresti. </s>",shop diversity is negative,manual
"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: buna ziua. Am cumparat aceasta bicicleta aprox acum 8 luni si am avut doar probleme cu ea. Dupa nici 2 luni explozie pe spate la cauciuc, uzura maxima la cauciucul exterior, nu intra in garantie, ca au zis ca am franat excesiv, ok am platit, dupa alte 3-4 luni cauciucul iar trebuie schimbat, fff proasta calitate, , nu recomand cauciucurile de la Decathlon. Apoi s-a rupt in mers pinionul spate, cel care schimba vitezele, spre surprinderea mea acesta s-a schimbat in garantie, dar cel de la reparatii mi-a zis ca tot vina mea este ca s-a uns lantul, nu inteleg ce treaba are asta cu lantul din moment ce s-a rupt in mers cand am schimat vitezele. In concluzie regret ca am cumparat aceasta bicicleta, nu o recomand </s>",product is negative; quality is negative; return warranty is positive; staff competency is negative,manual
"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Am luat aceeasi marime M ca si la o alta pereche tot de pe site-ul decathlon, acestia imi sunt mici, plus in buzunare nu incap nicidecum cate 3 mingi </s>",product is negative,manual
"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: cusaturile de pe spate creeaza un usor discomfort, chiar si fara rucsac..... poate trebuie sa te obisnuiesti. respirabilitatea e acceptabila </s>",product is positive,manual
"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: După 3zile de purtat o cizmă s-a descusut materialul in spate nefiind forțate. Am curățat ambele bucăți am mers la magazin cu bonul ptr garantie dar nu am primit garanția deoarece domnisoara de la casa îmi spune că, cauciucul este PĂTAT si acesta este motivul ce nu face obiectul garantiei. Trist.Imi pare rau ca nu am putut LEVITA ptr a nu le pata. Dar cum ramane cu cele 24 de luni garantie???? Multumesc </s>",product is negative; quality is negative; return warranty is negative; staff competency is negative,manual
"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: O mai buna administrare a site-ului, al produselor prezentate pe site gasind in unele magazine produse care nu sunt postate pe site, managementul defectuos al stocurilor pe site aparand produse iar in magazin nu mai erau de ceva timp si o crestere a calitatii produselor oferite chiar daca aceasta vine si cu o crestere aferenta a pretului. </s>",quality is negative; shop organization is negative; tech support is negative,manual
Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Aștept de aproximativ o lună dupa o bicicletă (model 520) datorită unor erori cosecutive de comandă. Ultimul termen 10 Mai. </s>,delivery is negative,manual
"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: produsul comnandat este de calitate si asemanator prezentarii de pe site, insa singura problema este riscul de a nu se potrivi marimile, cumparand de pe magazinul online. Din pacate, pantalonii comandati de mine, trebuiesc schimbati sau modificati. </s>",product is positive; quality is positive,manual
Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Personalul mai pregătit.Nu sunt suficiennțî oameni ptr a ajuta clienții.Acesta e un foarte mare minus. </s>,staff competency is negative; staff availability is negative,manual
"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Deși este destul de confortabil în mână, este prost din punct de vedere calitativ. După doar o săptămâna a început sa curgă apă de la capac, semn ca nu îl puteam închide ermetic. Este unul dintre puținele lucruri cumpărate de la Decathlon pe care nu îl recomand </s>",product is positive; quality is negative,manual
"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Doar doua case deschise, ceea ce e dureros. Era destul de multa lume. Personal putin si pe sala. Plus ca la un moment dat a trecut in fata un client ce venea din spatele meu. Am intrebat domnisoara de la casa de ce nu functioneaza sistemul de case deschise pe care il gasesti in toate magazinele din Bucuresti si mi-a raspuns ca asa ceva nu exista la Ploiesti. Oare asa e??? </s>",service is negative; staff availability is negative; staff competency is negative,manual
"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Noua organizare a incasarilor lasa mult de dorit, am stat jumatate de ora la prima casa , timp in care clientii cu mai mult tupeu au trecut spre celelalte case libere de unde noi fuseseram refuzati pe un ton nu foarte prietenos de d-ra casiera , pe motiv ca trebuie sa asteptam la prima casa de marcat.Haos total !D-ra casiera de la prima casa unde se formase coada cea mai mare merita un premiu fiindca incaseaza cel mai mult, in timp ce si ofera informatii clientilor deoarece nu exista nici macar un afis/sageata/om pentru indrumare spre respectarea noilor reguli. </s>",shop organization is negative; staff competency is negative; service is positive,manual
Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Prima impresie a fost ca pot sa gasesc produse de calitate la preturi accesibile. Insa la o privire mai atenta nu am reusit sa gasesc acele produse de calitate la preturile dorite. </s>,shop diversity is negative; quality is negative; price is negative,manual
"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: O minge """"bunicica"""", dar care se deterioreaza foarte rapid. Folosita doar pe gazon artificial, s-a tocit pe marginile peticilor si s-a rupt cusatura. Nu poate fi folosita la un nivel consecvent, asa cum este precizat in descrierea produsului. </s>",product is positive; quality is negative,manual
"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Sunt intr-adevar impermeabile. Prima parte din traseu au fost ok, dar la final abia mai aveam tragere de inima sa ajung acasa mai repede sa ma descalt. Imi pare rau, dar chiar asa s-a intamplat. Ori a fost vina mea si trebuia sa imi cumpar un numar mai mare (port 41,5 si ghetele au 42) ori nu sunt ghetele facute pentru trasee pe munte medii spre dificile. Iar aderenta nu este prea buna. Am alunecat cu ele pe pietre sau lemn umed. Plus ca, prietena mea, cu care am plecat in aventura de pe munte, avea acelasi model, dar pe alta culoare, si a avut aceleasi probleme. </s>",product is positive,manual
"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: am stat 20 minute la casa fiind al 2 la rand,era ceva de inlocuit si nu stia cum </s>",staff competency is negative,manual
"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Este buna intradevar ,numai ca nu sta fixa pe corp. Cu cat execut mai multe miscari de indoire a corpului,centura se deplaseaza sus spre piept,nu sta fixa. </s>",product is positive,manual
"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Erau peste 150 de oameni in magazin, excluzand copiii care transformasera spatiul intr-un teren de joaca, vandalizau toate articolele sportive. Am inteles, e normal sa vrei sa probezi o bicicleta, dar nu e normal sa transformi un spatiu comercial in gradinita doar pentru ca parintii se plictisesc in casa </s>",environment is negative,manual
"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Cand sa ies un paznic mi-a spus sa ii arat bonul, i-am aratat si apoi dupa ce s-a uitat in sacosa, mi-a spus sa ii arat si ghiozdanul, spunea ca """"poate am luat o soseta"""" dar a spus cu un ton ca si cum as fi fost un hot pe care tocmai l-a prins, nu mi-a placut gestul lui, oricum ii aratam ce am in ghiozdan, dar nu era nevoie sa spuna asta </s>",security is negative,manual
Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Sunt bunicele. Din păcate nu sunt foarte rezistente deoarece au început sa se rupă ; se pare ca se uzează repede </s>,product is negative; quality is negative,manual
"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: stocuri zero, nimic, pt ce sa mai vin la dechatlon? nu am gasit nimic la ghete iarna pt copii, motivul fiind ca nu mai trimit producatorii. ok, sa se puna macar sandale....daca se crede ca toata lumea isi cumpara vara sanie si invers.. </s>",shop diversity is negative,manual
Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Preturile de pe site nu coincid cu cele din magazinAtmosfera din magazin e una frumoasa </s>,shop organization is negative; environment is positive,manual
"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Miercuri 6 ian din magazinul din Timisoara am dorit sa cumparam o bicicleta 16"""" Lillo Princess alb/roz. Deoarece nu era pe stoc, aceasta a fost comandata telefonic de un angajat al magazinului din magazinul Cluj, cu livrare urgenta., urmand sa fim contactati s-o ridicam in 2-3 zile. Sambata 9 ian am sunat noi la magazin, pt ca pana atunci nu fusesem contactati, si raspunsul lor a fost ca ...nici nu plecase din Cluj. Colegul a uitat sa o livreze. Atunci am fost de acord sa refacem comanda si sa ajunga marti, 12 ian. Am fost contactati miercuri 13 ian ca a sosit bicicleta. Doar ca in ambalajul care corespundea modelului cerut de noi, era...alt model de bicicleta si corespunzator altei varste de copil. DEZAMAGITOR ! Acum asteptam sa vina bicicleta in 15 ian.Bicicleta era cadou pt fiica noastra a carei petrecere a fost in 10 ian. </s>",shop diversity is negative; staff competency is negative; service is negative,manual
Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Nu am gasit masurile de care aveam nevoie.Erau rafturi goale. </s>,shop diversity is negative,manual
"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: In primul rand preturile au crescut iar in al 2-lea rand ganditiva cum sa atrageti clientela , nu sa o alungati. Sistemarea sau organizarea magazinului si produsele pe categori lasa de dorit ( cel putin pentru mine ) . </s>",price is negative; shop organization is negative,manual
Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Organizarea lasă de dorit..personal foarte greu găsești pt informații sau ajutor..produsele nu sunt la locul lor... </s>,shop organization is negative; staff availability is negative,manual
Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Cursuri de îmbunătățire sau înlocuirea celui ce se ocupa de aprovizionare! </s>,staff competency is negative,manual
"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Am comandat ceva de la un alt Decathlon din țara , săptămâna trecută iar ieri când am fost sa văd de ce nu ma suna cineva , am constatat ca nu știa nimeni de comanda mea </s>",staff competency is negative; service is negative,manual
"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Cu fiecare vizită totul e din ce in ce mai dezamăgitor. În curând o să merg la Băneasa. Secțiunea de alergare e aproape de negasit. Am fost direcționat unde se pare a fi alergarea, și de fapt era ciclismul. </s>",shop diversity is negative; staff competency is negative,manual
Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: I-am achizitionat pentru antrenamente in sala de sport si talpa lasa urme la fiecare miscare. Innegresc pe oriunde calc. </s>,product is negative,manual
Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Foarte putin personal si nu am avut parte de sfaturi si indrumari. </s>,staff availability is negative; staff competency is negative,manual
"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: pret doua suruburi M5 cu cap hexagonal = 9,9 leipret pompa umflat roti bicicleta cu uport si doua suruburi M5 cu cap hexagonal = 9,9 leitrageti dumneavoastra concluzia! :( </s>",price is negative,manual
"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Buna ziua,Am plasat o comanda la dumneavoastra pe site in data de 06.01.2016, am primit in aceeasi zi confirmarea ca plata a fost efectuata, tinand cont ca am optat pentru plata cu cardul, insa comanda mea inca se proceseaza asta insemnand ca nici nu a ajuns la firma de curierat, as putea sa stiu cand o sa primesc comanda? Asta daca nu cer prea mult din moment ce banii i-ati primit.Va multumesc anticipat! </s>",delivery is negative,manual
"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Detin acest model de MTB de aproape o luna, din pacate n-am avut inca posibilitatea sa o testez si off road pe trasee montane ci doar pe strazile Bucurestiului.Imi place foarte mult aspectul si calitatea cadrului, pozitia de condus este foarte confortabila, iar accesul la frane/schimbatoare este perfect.Din pacate nu pot spune acelasi lucru si despre calitatea echiparii SRAM... este cu mult sub nivelul asteptarilor. Este achizitionata de mai putin de o luna si a devenit destul de zgomotoara, se aud zgomote (scartait sau atingeri) prin diverse locatii (deraior, etriere frane), roata fata a inceput sa se descentreze (pe cea din spate nu o pot privi in timpul mersului) nu schimba corect vitezele, si toate astea dupa doar maxim 50 km de mers in oras... nu sunt cel mai experimentat ciclist insa pot face diferenta intre ceva ce functioneaza corect si ceva ce din pacate se chinuie sa functioneze...N-as putea spune ca imi pare rau de achizitie, dar nu o mai privesc cu aceiasi ochi si acelasi entuziasm ca atunci cand am testat-o in magazin.As fi vrut sa merg cu aceasta bicicleta si pe trasee montane, dar... nu prea stiu ce sa zic in acest moment.Pretul este unul corect, dar anterior am avut o bicicleta basic, cu care am mers numai in oras si timp de 6 ani nu am schimbat nimic la ea, poate doar i-am uns putin lantul si nu mi-a creat acest tip de neplaceri.Oricat de mult as vrea sa recomand acest produs nu o voi face... cat despre Decathlon... toata stima si respectul.Voi merge inapoi in magazinul de unde am achizitionat produsul sa vad ce optiuni am. </s>",quality is positive; product is positive; price is positive,manual
Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Deși produsele apăreau în stoc >2 bucăți nu le-am găsit nici la raft nici cu ajutorul personalului. </s>,shop diversity is negative,manual
Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Nu am gasit produsul pe care il cautam </s>,shop diversity is negative,manual
"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: magazinul din Militari ,marfa, personal, preturi, nota 10. In schimb la Baneasa am fost total dezamagita de prezentarea lui. Regret </s>",shop diversity is positive; staff competency is positive; price is positive; shop organization is negative,manual
"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: """"-"""" Ar trebui sa fie o concordanta intre articolele cu pret redus de pe site si cele existente in magazin. Chiar daca pe site anumite produse apareau disponibile in stocul magazinului, la magazin ele nu existau de fapt, stoc zero. Foarte putine produse mai erau disponibile la raionul de natatie.Chiar daca este luna august suntem inca in sezon! """"+"""" Majoritatea produsele recomandate pentru inceperea noului an scolar sunt acceptabile ca raport calitate- pret. </s>",price is positive; quality is positive; shop diversity is negative; shop organization is negative,manual
Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Personalul prea ocupat cu organizarea si mai putin cu clientul. </s>,staff competency is negative,manual
"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Buna ziua ! Am venit la voi in magazin in scopul de a cauta ceva imbracaminte ptr Revelion,dar nu am gasit decat imbracaminte sport....si marimi mici ,eu sunt un tip mai mare de statura...pe viitor mi’ar placea sa gasesc si masuri mari gen 3-4-5 XL.Va doresc Sarbatori Fericite !!! </s>",shop diversity is negative,manual
"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: am lasat bicicleta la constatare miercuri, pana joi seara nu facusera nici constatarea, si nu aveau nici o idee de pret la piesa noua sau reglaj pentu a rezolva problema. </s>",service is negative; staff competency is negative,manual
"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Am cumparat o minge de fitness, acasa am vazut ca nu are nici un fel de adaptor pentru umflare. Am mai cumparat un colier de fixare tija sa pt bicicleta mea btwin, cam scump 30 lei si nu se potriveste, a fost prea mai mic in diametru, deci in concluzie, dezamagire. </s>",product is negative; price is negative,manual
Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: M-a deranjat lipsa de produse la manusile de ski pt copii </s>,shop diversity is negative,manual
Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Lipsa personal casa si magazin . Lipsa produse din magazin . </s>,staff availability is negative; shop diversity is negative,manual
"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Design placut dar nu este adaptat la formele feminine. Alegand o marime potrivita pentru zona umerilor si a pieptului sta larga in zona toracelui si a taliei si astfel dupa o activitate mai intensa, care duce la aparitia transpiratiei, se simte rece pentru ca nu este in contact ferm cu corpul. Modelele pentru femei trebuie gandite cu o croiala mai ampla in zona pieptului si mult mai cambrata pe torace si talie (Am purtat-o ca prim strat).Se comporta bine din punct de vedere al retinerii mirosului transpiratie (adica tesatura nu retine mirosul ). Tinand cont ca este incadrata de catre producator in zona inferioara a capacitatii de a tine cald consider ca e conforma cu incadrarea. La vant nu i-am testat calitatile. </s>",product is negative,manual
"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Trenning-urile nu sunt in acelasi loc si nu sunt grupate pe marci. Deasemenea o varietate mica si indisponibilitate a mai multor marimi astfel incat o familie (sot, sotie) nu poate alege acelasi tip de trenning. </s>",shop organization is negative; shop diversity is negative,manual
Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Greu de suportat ca si consistenta iar dupa 15-20 min. am simtit un usor boost </s>,product is negative,manual
"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Nu a putut repara, si a tinut fara motiv la magazin </s>",staff competency is negative,manual
"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Stocuri articole de sezon mai diversificate.Geci barbati erau mai multe modele decat cele de dama, si lipseau marimile xl-2xl </s>",shop diversity is negative,manual
Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Am ramas foarte dezamagit ca nu am gasit nici o pereche de sireturi. </s>,shop diversity is negative,manual
"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: le-am cumparat pt fiul meu(2buc), are 13ani si 1,66cm...undeva la 55kg..sunt destul de mari...marime xs..pacat ca la copii nu exista si marimi mai mari, produse pt el nu prea gasesc la voi, ma refer la imbracaminte, m14 ani de la copii sunt mici, iar xs de la adulti sunt mari... </s>",shop diversity is negative; product is negative,manual
Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Articolele pt drumetii montane nu sunt disponibile tot timpul anului iar unele produse nu sunt diversificate. Cred ca trebuie umblat putin si la calitatea articolelor sau oferta sa cuprinda si o alternativa cu produse calitative </s>,quality is negative; shop diversity is negative,manual
Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Nu existau preturile afisate la cea mai mare parte din articolele de pescuit </s>,shop organization is negative,manual
"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: am incercat returul si schimbul unui produs, am fost dezumflat de explicatiile robotice primite si de achitarea unei noi contravalori pentru transport, pana ce voi ajunge la un magazin fizic sa folosesc cardul raman """"cu sportivitate"""" nerezolvat. </s>",return warranty is negative; service is negative,manual
"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Nu e rău, materialul e plăcut, mai agreabil decât un prosop tip camping dar trebuie spalat de două-trei ori cu simț de răspundere că lasă o groază de puf. Se umple locul, și e vizibil în special pe suprafețele albe... </s>",product is positive,manual
"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Am utilizat aceste ghete pe un traseu de 9 ore de la cabana Curmatura pana la varful La Om si retur si pot spune ca nu sunt foarte comode, dovada cele 6 bataturi pe care le-am facut. Pe latura pozitiva, aderenta pe pietrele din Piatra Craiului a fost buna. Le-as recomanda mai mult pentru trasee mai scurte si mai usoare. </s>",product is negative,manual
"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Atrageti oamenii cu oferte speciale si preturi mici pe care nu le aveti pe stoc !!! Ar trebui ca stocurile de marfa sa fie refacute in functie de vanzari si nu de alte criterii. Astfel ar fi disponibile mereu si numerele mari la incaltamintea barbateasca la oferta. E normal sa suplimentezi mai mult stocurile care se vand mai mult pentru ca fiecare reper sa fie disponibil permanent clientilor. Daca ai observat ca numerele mari se dau imediat si cele mici zac luni de zile pe stoc, nu e logic ca data viitoare vei baga pe stoc mult mai multe numere mari decat cele mici? La voi nu e logic se pare... Ultima data am cheltuit aproape 1000 lei pe carpe si vroiam 4~5 perechi de mergatori pentru mine si angajatii mei ca incaltaminte de munca. Nu ma gasit nimik pe numere mari ! Merci pentru nimic si voi cumpara din alte magazine si voi vizita mai rar pe al dvs.. </s>",shop diversity is negative; promotions is negative,manual
"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Informatii gresite primite de la angajati ce nu vor sa ajute clientii.Am intrebat de tricouri ciclism pentru fete, un coleg mi-a transmis ca exista doar de barbati iar alt coleg ne-a transmis ca nu sunt pe stoc, De fapt erau in cutii in fata raionului doar ca nu erau expuse. </s>",staff competency is negative,manual
"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Dupa ce am luat bicicleta, ma intorc pentru ca nu intra pe pinionul 7 si imi zice: nu e problema, inca nu s-a acomodat noua macara. Pe bune??? Franile nu le-au reglat, schimbatoarele tot cum le-am dus..poate si mai rau si cica e gata revizia in maxim 4 zile. Dupa 8 zile ii sun eu si imi pun muzica 3 minute pana gaseste un baiat care nici macar nu era de la atelier si imi zice ca mai dureaza cateva zile.. Nu recomand! Servicii de proasta calitate. </s>",service is negative; staff competency is negative,manual
"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Dupa nici 6-7 iesiri in acest sezon un talpic s-a peforat. Astfel, zapada de pe partie ajunge in sanie.Nu ma asteptam sa o pot utiliza practic mai putin de un sezon. Mentionez ca utilizatorul are 6,5 ani (aprox. 23 kg). Teoretic suporta greutati peste dublu. </s>",product is negative; quality is negative,manual
Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Ar fi putut avea mai multe jocuri de lumini si nu iar strica niste îmbunătățiri la curea </s>,product is negative,manual
"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Ochelarii sunt slabi calitativ. Pana alegi, in magazin gasesti cateva perechi cu lentilele dezlipite. Defect care apare la ochelari dupa cateva utilizari. </s>",quality is negative; product is negative; shop diversity is negative,manual
"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Ofertele ar trebui sa fie ceva mai variate,mai multe promoții nu ar strica. </s>",promotions is negative,manual
"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Buna ziua,Aceste manusi sunt usor de folosit,usor de pus,insa greu de scos de pe maini.Motivul : croiala pentru degetul mare este prea mica,la o mana deja transpirata de la efortul de sala pursi simplu este enervant cat timppierzi sa scoti manusa doar din cauza degetului mare. </s>",product is positive,manual
Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: NU este chiar impermeabila. Dupa ce se uda fermoarul intra pa in interior. Ar fi fost ok daca sub fermoar ar fi existat sistemul acela de sigilare care se gaseste la pungile de alimente prin care nu tece nici aerul... </s>,product is negative,manual
Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Puneți prețurile la raft si aranjați marfa . Fiecare produs la prețul lui . </s>,shop organization is negative,manual
