text,id,aspects_polarities,annotator,all_categories,all_categories_old,all_polarities,data_origin,text_cleaned,cmlm_text
Mă gândesc așa ca românul oare măcar la cumpărături de minim 100 RON Decathlon nu își permite să dea cadou clientului o sacoșă de cumpărături???,431879,service - negative,22,service,service,Negative,manual,Mă gândesc așa ca românul oare măcar la cumpărături de minim 100 RON Decathlon nu își permite să dea cadou clientului o sacoșă de cumpărături???,de mă gândesc așa ca : oare măcar la prețul de minim 100 ron decathlon nu își permite să dea și pe o sacoșă de cumpărături???
Am primit un cec cadou de 25 lei si nu au vrut sa imi scaneze codul de pe telefon. Trebuia sa imi cumpar imprimanta sau alta modalitate care depasea valoarea cecului. Asa ca tot incearca sa ciupeasca sau sa insele cumparatorul.,431881,"{'choices': ['service - negative', 'staff competency - negative']}",22,service; staff competency,service; staff competency,Negative; Negative,manual,Am primit un cec cadou de 25 lei si nu au vrut sa imi scaneze codul de pe telefon. Trebuia sa imi cumpar imprimanta sau alta modalitate care depasea valoarea cecului. Asa ca tot incearca sa ciupeasca sau sa insele cumparatorul.,. am primit un cec cadou de 25 lei si nu au reusit sa imi scaneze codul de pe cec. trebuia sa imi cumpar imprimanta sau alta piesa care depasea valoarea cecului. asa ca tot incearca sa ciupeasca sau sa insele cumparatorul.
Buna ziua  de fiecare data constat ca personalul este insuficient in raport cu numarul clientilor.Sunt articole pentru  care este necesara consilierea la achizitie si este pacat ca in ultima perioada atat in mag Militari cat si in Pallady atentia fata de client lasa de dorit .O zi Buna !,431884,"{'choices': ['staff availability - negative', 'staff competency - negative']}",22,staff availability; staff competency,staff availability; staff competency,Negative; Negative,manual,Buna ziua de fiecare data constat ca personalul este insuficient in raport cu numarul clientilor.Sunt articole pentru care este necesara consilierea la achizitie si este pacat ca in ultima perioada atat in mag Militari cat si in Pallady atentia fata de client lasa de dorit .O zi Buna !,. buna ziua de fiecare data constat ca personalul este insuficient in raport cu numarul lor. sunt cazuri pentru care este buna consilierea la achizitie si este pacat ca in ultima perioada atat in zona militari cat si in palladii atentia fata de client este de prisos. o zi buna!
Doar doua case. Se pierde timp cu scanarea cardurilor etc,431885,service - negative,22,service,service,Negative,manual,Doar doua case. Se pierde timp cu scanarea cardurilor etc,. doar doua case. se pierde timp cu reparaul.
"Trebuie neaparat o casa pentru Copii,femei gravide,persoane cu dificultati.Am venit impreuna cu sotia care era insarcinata si a trebut sa stau la coada aproximativ 15 minute.Plus ca erau doar 3 case deschise.Sper ca pe viitor sa rezolvati cumva problema..",431886,service - negative,22,service,service,Negative,manual,"Trebuie neaparat o casa pentru Copii,femei gravide,persoane cu dificultati.Am venit impreuna cu sotia care era insarcinata si a trebut sa stau la coada aproximativ 15 minute.Plus ca erau doar 3 case deschise.Sper ca pe viitor sa rezolvati cumva problema..",". am gasit o casa pentru copii, femei tinere, si cu copii. am venit si cu sotia care era insarcinata si a trebut sa stau la coada aproximativ 15 minute. plus ca erau doar 3 case deschise. sper ca pe viitor sa rezolvati cumva problema.."
"Am facut o rezervare in magazin impreuna cu reprezentantul Decathlon, iar a doua zi cand am revenit sa ridic produsele acestea nu mai erau disponibile.",431887,service - negative,22,service,service,Negative,manual,"Am facut o rezervare in magazin impreuna cu reprezentantul Decathlon, iar a doua zi cand am revenit sa ridic produsele acestea nu mai erau disponibile.",". am facut o rezervare in prealae cu reprezentantul decathln, iar a doua zi cand am revenit sa ridic produsele acestea nu mai erau acolo."
Produsul foarte  bun. Livrarea după 3 zile fata de termenul initial,431888,"{'choices': ['delivery - negative', 'product - positive', 'quality - positive']}",22,delivery; product; quality,delivery; product; quality,Negative; Positive; Positive,manual,Produsul foarte bun. Livrarea după 3 zile fata de termenul initial,. produsul foarte bun. livrarea după 3 zile fata de termenul.
Va rog sa luati masuri impotriva cersetorilor extrem de agresivi din parcarea magazinului.,431891,security - negative,22,security,security,Negative,manual,Va rog sa luati masuri impotriva cersetorilor extrem de agresivi din parcarea magazinului.,. va rog sa luati masuri impotriva cersetorilor extrem de agresiv din fata magazinului.
"La ultima vizita, prea multe produse indisponibile fie la raft, fie pe masuri/numere uzuale.Personalul mi s-a parut insuficient, foarte greu gaseai un consultant disponibil la care sa ceri relatii. Este foarte adevarat ca am fost in perioada weekend-ului, insa acest aspect nu cred ca scuza cele expuse mai sus.Destul de multa dezordine.",431894,"{'choices': ['shop diversity - negative', 'staff availability - negative', 'shop organization - negative']}",22,shop diversity; staff availability; shop organization,shop diversity; staff availability; shop organization,Negative; Negative; Negative,manual,"La ultima vizita, prea multe produse indisponibile fie la raft, fie pe masuri/numere uzuale.Personalul mi s-a parut insuficient, foarte greu gaseai un consultant disponibil la care sa ceri relatii. Este foarte adevarat ca am fost in perioada weekend-ului, insa acest aspect nu cred ca scuza cele expuse mai sus.Destul de multa dezordine.",". la ultima vizita, prea multe produse indisp disponbile fie la stoc, fie pe masuri / numere mari. personalul mi s - a parut insuficient, foarte greu gaseai un consultant de la care sa ceri ajutor. este foarte bine ca am fost in perioada weekend - ului, insa acest lucru nu cred ca scuza cele de mai sus. destul de multa dezordine."
"Lipsa din colet a unui produs comandat si platit la livrare (primit ulterior, in urma unei sesizari)",431898,delivery - negative,22,delivery,delivery,Negative,manual,"Lipsa din colet a unui produs comandat si platit la livrare (primit ulterior, in urma unei sesizari)","? lipsa din colet a unui produs comandat si platit la livrare ( primit ulterior, in urma unei taxe )"
As fi tare bucuros daca ați realiza si o Aplicație online pentru smartphone,431900,tech support - negative,22,tech support,tech support,Negative,manual,As fi tare bucuros daca ați realiza si o Aplicație online pentru smartphone,? as fi tare curios daca ați realiza si o harta online pentru smartphone
"Nu sunt reduceri ff substantiale , ar trebui  facute  promotii succesiv la diferite categorii , Produsele nu au preturi ,  trebuit sa alerg mereu dupa personal ca sa  ma ajute , noroc ca au fost super ok si amabili , dar cam putini Marfa nearanjata , aspect haotic in magazinEchipametul feminin, in special pt ciclism pe care l am cautat eu, lipseste cu desavarsire , ca urmare am dat comanda online de pe un  site Produse ff scumpe , prefer sa platesc transport decat sa platesc pt o pereche de egari 200 de ron , si  calitatea oricum este indoielnica , fiind fff subtiri",431903,"{'choices': ['price - negative', 'promotions - negative', 'quality - negative', 'shop diversity - negative', 'shop organization - negative', 'staff availability - negative', 'staff competency - positive']}",22,price; promotions; quality; shop diversity; shop organization; staff availability; staff competency,price; promotions; quality; shop diversity; shop organization; staff availability; staff competency,Negative; Negative; Negative; Negative; Negative; Negative; Positive,manual,"Nu sunt reduceri ff substantiale , ar trebui facute promotii succesiv la diferite categorii , Produsele nu au preturi , trebuit sa alerg mereu dupa personal ca sa ma ajute , noroc ca au fost super ok si amabili , dar cam putini Marfa nearanjata , aspect haotic in magazinEchipametul feminin, in special pt ciclism pe care l am cautat eu, lipseste cu desavarsire , ca urmare am dat comanda online de pe un site Produse ff scumpe , prefer sa platesc transport decat sa platesc pt o pereche de egari 200 de ron , si calitatea oricum este indoielnica , fiind fff subtiri",". nu sunt reduceri foarte substantiale, ar trebui facute promotii succesiv la aceste categorii, dar nu au fost, trebuit sa alerg mereu dupa ei ca sa ma ajute, noroc ca au fost oameni ok si ei, dar cam putini marfa neranjata, aspectul in magazinec,metul feminin, in special pt ciclism pe care l am cautat eu, lipseste cu totul, ca urmare am dat comanda online de pe un site produse ff scumpe, prefer sa platesc, decat sa platesc pt o pereche de pantofari 200 de lei, si calitatea oricum este buna, fiind fff buna"
"Lipsa Personal atunci cand ai nevoie,preturi diferite de cele afisate,prea putine cabine de proba,",431904,"{'choices': ['shop organization - negative', 'staff availability - negative', 'service - negative']}",22,shop organization; staff availability; service,shop organization; staff availability; service,Negative; Negative; Negative,manual,"Lipsa Personal atunci cand ai nevoie,preturi diferite de cele afisate,prea putine cabine de proba,",". - personal atunci cand ai nevoie, preturi diferite de cele afisate, prea putine ore de proba,"
"incarcare greoaie.switch din cont in delogare foarte ciudata, setarea cookie-uilor nu este ok.",431906,tech support - negative,22,tech support,tech support,Negative,manual,"incarcare greoaie.switch din cont in delogare foarte ciudata, setarea cookie-uilor nu este ok.",". incarcare greoaie. switch din cont in delogare foarte greu, starea cookie - urilor nu este ok."
Apreciez ca nuantele culorilor la canadiene sunt variatii ale culorii de baza la unele produse care ar trebui sa aibe culoarea rosie.,431909,misc - neutral,22,misc,misc,Neutral,manual,Apreciez ca nuantele culorilor la canadiene sunt variatii ale culorii de baza la unele produse care ar trebui sa aibe culoarea rosie.,culoar apreciez ca nuantele culorilor la canadiene sunt cele ale celor de baza la unele produse care ar trebui sa aibe culoarea alba.
"- Nu se gasesc bocanci de piele pt copii.- Erau doar 2 case deschise. Ce ma deranjeaza e ca nu se poate trece codul fiscal pe bon la casa e marcat. Am stat 10 minute la o alta coada pt factura, pentru ca tot acolo se primesc si retururile.",431912,"{'choices': ['service - negative', 'shop diversity - negative']}",22,service; shop diversity,service; shop diversity,Negative; Negative,manual,"- Nu se gasesc bocanci de piele pt copii.- Erau doar 2 case deschise. Ce ma deranjeaza e ca nu se poate trece codul fiscal pe bon la casa e marcat. Am stat 10 minute la o alta coada pt factura, pentru ca tot acolo se primesc si retururile.",". - nu se gasesc bocanci de piele pt copii. - erau doar 2 case deschise. ce ma deranjeaza e ca nu se poate trece valoara pe bon la casa e marcat. am platit 10 lei la o alta casa pt factura, pentru ca tot acolo se primesc si banii."
"Desi apreciez oferta, in acea vizita nu am reusit sa discut cu un consultant ori nu am gasit optiuni decat la 5 din 10 produse dorite.",431913,"{'choices': ['shop diversity - negative', 'staff availability - negative']}",22,shop diversity; staff availability,shop diversity; staff availability,Negative; Negative,manual,"Desi apreciez oferta, in acea vizita nu am reusit sa discut cu un consultant ori nu am gasit optiuni decat la 5 din 10 produse dorite.",". desi am fost, in acea vizita nu am reusit sa discut cu un client ori nu am gasit optiuni decat la 5 din 10 produse dorite."
"In cursul sapt. trecute am lansat o comanda de 6 produse, sambata (15 - aug) seara fiind informata telefonic caci un produs nu se afla pe stoc si nu va fi livrat. Duminica am verificat pe site, constatand ca produsul este pe stoc, in cantitate mare, exceptand un singur magazin, din Ploiesti; am revenit cu tel. si, dupa multe balbaieli (da, nu mi-e rusine de limbaj, dar chiar m-ati incurcat f. tare) am aflat ceva nou, cum ca """"on line"""" se livreaza doar produsele disponibile in """"Iuliu Maniu""""; am replicat caci produsul apare pe stoc in """"Iuliu Maniu""""; ... final: """"Scuze, m-am inselat, produsul d-vs este in pachet, sunt toate cele 6 produse"""". Azi vine curierul, fara produsul respectiv (nu mai comentez caci colaborati cu o Firma de curierat care te anunta f. sec, in acelasi timp cu mesajul de informare cum ca """"o sa vina un curier"""", ca el a ajuns si nu poate sa astepte 10 min. si ca revine azi, ceea ce, din experienta mea, nu se va intampla, va veni maine, alt curier, la fel de instantaneu). Eu pierd timp si nervi, d-vs pierdeti credibilitate si, poate, si comenzi care pot ajunge retur-nereceptionate",431916,"{'choices': ['delivery - negative', 'service - negative', 'staff competency - negative']}",22,delivery; service; staff competency,delivery; service; staff competency,Negative; Negative; Negative,manual,"In cursul sapt. trecute am lansat o comanda de 6 produse, sambata (15 - aug) seara fiind informata telefonic caci un produs nu se afla pe stoc si nu va fi livrat. Duminica am verificat pe site, constatand ca produsul este pe stoc, in cantitate mare, exceptand un singur magazin, din Ploiesti; am revenit cu tel. si, dupa multe balbaieli (da, nu mi-e rusine de limbaj, dar chiar m-ati incurcat f. tare) am aflat ceva nou, cum ca """"on line"""" se livreaza doar produsele disponibile in """"Iuliu Maniu""""; am replicat caci produsul apare pe stoc in """"Iuliu Maniu""""; ... final: """"Scuze, m-am inselat, produsul d-vs este in pachet, sunt toate cele 6 produse"""". Azi vine curierul, fara produsul respectiv (nu mai comentez caci colaborati cu o Firma de curierat care te anunta f. sec, in acelasi timp cu mesajul de informare cum ca """"o sa vina un curier"""", ca el a ajuns si nu poate sa astepte 10 min. si ca revine azi, ceea ce, din experienta mea, nu se va intampla, va veni maine, alt curier, la fel de instantaneu). Eu pierd timp si nervi, d-vs pierdeti credibilitate si, poate, si comenzi care pot ajunge retur-nereceptionate",". in ziua aug.. am facut o comanda de 6 lei, ieri ( 15 - aug ) seara fiind sunat, caci un produs nu se afla pe stoc si nu va fi livrat. nu am sunat pe mail, pentru ca produsul este pe stoc, in cantitate mare, exceptand un singur magazin, din ploiesti ; am revenit cu tel. si, dupa multe mesaje ( da, nu mi - e frica de limbaj, dar chiar m - ati jignit f. tare ) am primit ceva nou, cum ca "" "" on line "" "" se livreaza doar celor disponibile in "" "" iuliu maniu "" "" ; am replicat caci produsul apare pe stoc in "" "" iuliu maniu "" "" ;... si : "" "" da, m - am inselat, stocul d - vs este in stoc, sunt toate cele 6 luni "" "". azi vine curierul, fara produsul dorit ( nu mai comentez, colaborati cu o firma de curierat care te anunta f. repede, in acelasi timp cu mesajul de ieri cum ca "" "" o sa vina un curier "" "", ca el a plecat si nu poate sa astepte 10 min. si ca revine azi, ceea ce, din cauza mea, nu se va intampla, va veni altul, alt curier, la fel de rapid ). eu pierd timp si bani, d - vs pierdeti bani si, poate, si comenzi care pot ajunge retur - nereortionate"
"Roata cea veche care este similara cu aceasta a devenit un hexagon cu laturile perfect pătrate , dar am preferat să cumpăr de aici pentru ca trotineta este tot decathlon",431917,misc - neutral,22,misc,misc,Neutral,manual,"Roata cea veche care este similara cu aceasta a devenit un hexagon cu laturile perfect pătrate , dar am preferat să cumpăr de aici pentru ca trotineta este tot decathlon",". roata cea veche care este similara cu aceasta a avut un model cu laturile perfect pătrate, dar am preferat să cumpăr de aici pentru ca asta este tot."
Daca stateam dupa curier fetita mea primea cadoul de Moş in 26 Decembrie.Schimbați curierul!!!!!Organizare proasta!!!!De ca daca curierul nu vine la timp nu-mi dați din magazin acelaşi produs pe care l-am platit online???,431920,delivery - negative,22,delivery,delivery,Negative,manual,Daca stateam dupa curier fetita mea primea cadoul de Moș in 26 Decembrie.Schimbați curierul!!!!!Organizare proasta!!!!De ca daca curierul nu vine la timp nu-mi dați din magazin același produs pe care l-am platit online???,? daca stateam dupa curier fetita mea primea cadoul de moș in 26.. vine curierul!!!!! organizare proasta!!!! de ca daca el nu vine la timp nu - mi dați din nou același mesaj pe care l - am primit online???
Încă nu am primit conanda și ma intrebati cum e? :))) cel mai tare decathlon!,431921,delivery - negative,22,delivery,delivery,Negative,manual,Încă nu am primit conanda și ma intrebati cum e? :))) cel mai tare decathlon!,! încă nu am terminat și ma intrebati cum e? : ) ) ) cel mai tare decat concurt!
"Sugestii: varietate gama, marimi, reduceri de pret reale, eliminarea hotilor prezenti in magazin.",431925,"{'choices': ['promotions - negative', 'security - negative', 'shop diversity - negative']}",22,promotions; security; shop diversity,promotions; security; shop diversity,Negative; Negative; Negative,manual,"Sugestii: varietate gama, marimi, reduceri de pret reale, eliminarea hotilor prezenti in magazin.",". sugest. : varietate mare, marimi, oferte de pret reale, eliminarea hotilor prezenti in magazin."
Oamenii de pază nu sunt comunicativi și sunt suspicioși cu orice client.,431926,security - negative,22,security,security,Negative,manual,Oamenii de pază nu sunt comunicativi și sunt suspicioși cu orice client.,. oamenii de pază nu sunt comunicativi și sunt ostili cu orice preț.
Dureaza mult procesarea comenzii..transport ..livrare lasa de dorit..si din brasov venea mai repede fata de 15km cat era distanta intre mine si voi(militari-centru),431927,delivery - negative,22,delivery,delivery,Negative,manual,Dureaza mult procesarea comenzii..transport ..livrare lasa de dorit..si din brasov venea mai repede fata de 15km cat era distanta intre mine si voi(militari-centru),? dureaza mult plata comenzii..... si lasa de dorit.. si din pacate venea mai repede fata de 15km cat era distanta intre mine si voi ( militata - centru )
Am fost sa schimb o pereche de adidasi  pt ca s-au rupt la cusatura si managerul mi-a spus ca nu se poate pt ca sant uzati dar adidasi ii folosesc la fuga nu sant pt vitrina.,431928,"{'choices': ['product - negative', 'quality - negative', 'return warranty - negative', 'staff competency - negative']}",22,product; quality; return warranty; staff competency,product; quality; return warranty; staff competency,Negative; Negative; Negative; Negative,manual,Am fost sa schimb o pereche de adidasi pt ca s-au rupt la cusatura si managerul mi-a spus ca nu se poate pt ca sant uzati dar adidasi ii folosesc la fuga nu sant pt vitrina.,. am fost sa schimb o pereche de adidasi ca s - au rupt la cusatura si managerul mi - a spus ca nu se poate pentru ca sant uzati dar adidasi ii folosesc la fuga nu sunt pt vitrina.
"Lipsa zambetului si abilitatii la personal, vb intrei ei zgomotos si aruncau cutiile printre rafturi...lipsa unor marimi mai frecvent utilizate(L)...Copii ce alearga prin magazin haotic si risti sa-i lovesti sau sa te loveasca. Ca pozitiv o gama mare de produse, si 1-2 angajati cu bun simt...",431930,"{'choices': ['staff competency - negative', 'shop diversity - negative', 'environment - negative', 'shop diversity - positive', 'staff competency - positive']}",22,staff competency; shop diversity; environment; shop diversity; staff competency,staff competency; shop diversity; environment,Negative; Negative; Negative; Positive; Positive,manual,"Lipsa zambetului si abilitatii la personal, vb intrei ei zgomotos si aruncau cutiile printre rafturi...lipsa unor marimi mai frecvent utilizate(L)...Copii ce alearga prin magazin haotic si risti sa-i lovesti sau sa te loveasca. Ca pozitiv o gama mare de produse, si 1-2 angajati cu bun simt...",". lipsa zambetului si abilitatii la personal, vb intrei ei zgomotos si cu cutiile printre rafturi... lipsa unor marimi mai frecvent utilizate ( l )... copii ce alearga prin magazie si risti sa - i atingi sau sa te loveasca.. ai o mana mare de oameni, si 1 - 2 angajati cu bun simt..."
"Buna ziua, La achizitionarea bicicletelor beneficiem ca si cliente de reglajul lor la standurile din magazinele decathlon, numai ca, este pentru prima oara cand am plecat cu ea fara a face vreun reglaj pe care ulterior l-am realizat acasa. Din doua locatii a cate doua standuri, in decursul a doua zile de colindat in decathlon iuliu maniu, erau prezenti doar doi oameni din personal, dar si multi clienti dornici de a-si cumpara o bicicleta. Pana aici toate bune si frumoase, am stat cateva minute la standul gol, la celalalt era coada mare, in speranta ca va veni cineva, dupa presupunerea mea, care ar fi fost in pauza de masa. A aparut o persoana pe care am vazut-o lucrand la biciclete prin preajma dar nici chip sa ne ajute pe cei ce eram prezenti acolo, si ne-a evitat desi i-am facut invitatie sa ne ajute. Dupa vre-o jumate de ora de stat pe loc cu bicicleta pe standuri, am plecat spre casa si mi-am luat inima in dinti, pentru ca imi functiona doar o frana, noroc ca nu stateam departe de magazin.O alta observatie este referitoare la modul de depozitare in stand a bicicletelor, care din pacate lasa de dorit. Sunt rezemate una de alta, rotile din spate se descentreaza pentru ca stau aplecate in loc de pozitia dreapta in care e normal sa fie amplasata. Dupa cateva biciclete """"luate la ochi"""" am reusit sa gasesc una cat de cat cu roata spate in niste limite acceptabile din punct de vedere al centratrii rotii, ce poate fi ajustata ulterior. O janta stramba nu mai poate fi centrata si necesita schimbarea!Ar fi grozav daca si cei ce sunt mecanici de biclete, ar fi persoane dornice de a-si presta meseria si care sa ne ajute fara a le atrage atentia, ceea ce s-ar materializa intr-un plus si pentru noi si pentru voi :).Zi faina.",431931,"{'choices': ['shop organization - negative', 'staff availability - negative', 'staff competency - negative']}",22,shop organization; staff availability; staff competency,shop organization; staff availability; staff competency,Negative; Negative; Negative,manual,"Buna ziua, La achizitionarea bicicletelor beneficiem ca si cliente de reglajul lor la standurile din magazinele decathlon, numai ca, este pentru prima oara cand am plecat cu ea fara a face vreun reglaj pe care ulterior l-am realizat acasa. Din doua locatii a cate doua standuri, in decursul a doua zile de colindat in decathlon iuliu maniu, erau prezenti doar doi oameni din personal, dar si multi clienti dornici de a-si cumpara o bicicleta. Pana aici toate bune si frumoase, am stat cateva minute la standul gol, la celalalt era coada mare, in speranta ca va veni cineva, dupa presupunerea mea, care ar fi fost in pauza de masa. A aparut o persoana pe care am vazut-o lucrand la biciclete prin preajma dar nici chip sa ne ajute pe cei ce eram prezenti acolo, si ne-a evitat desi i-am facut invitatie sa ne ajute. Dupa vre-o jumate de ora de stat pe loc cu bicicleta pe standuri, am plecat spre casa si mi-am luat inima in dinti, pentru ca imi functiona doar o frana, noroc ca nu stateam departe de magazin.O alta observatie este referitoare la modul de depozitare in stand a bicicletelor, care din pacate lasa de dorit. Sunt rezemate una de alta, rotile din spate se descentreaza pentru ca stau aplecate in loc de pozitia dreapta in care e normal sa fie amplasata. Dupa cateva biciclete """"luate la ochi"""" am reusit sa gasesc una cat de cat cu roata spate in niste limite acceptabile din punct de vedere al centratrii rotii, ce poate fi ajustata ulterior. O janta stramba nu mai poate fi centrata si necesita schimbarea!Ar fi grozav daca si cei ce sunt mecanici de biclete, ar fi persoane dornice de a-si presta meseria si care sa ne ajute fara a le atrage atentia, ceea ce s-ar materializa intr-un plus si pentru noi si pentru voi :).Zi faina.",". buna ziua, la incepu am fost ca si noi de ziuae la standurile din magazinele cora, numai ca, este pentru prima oara cand am plecat cu ea fara a face vreun reglaj pe care ulterie l - am facut acasa. din doua locatii a cate doua masini, in decursul a doua zile de colindat in decathlon iuliu maniu, erau prezenti doar doi oameni din tara, dar si multi clienti dornic de a - si cumpara o roata. pana aici toate bune si bune, am stat cateva minute la standuri, la care era coada mare, in caz ca va veni cineva, dupa presupunerea mea, care ar fi fost in pauza de masa. a aparut o doamna pe care am vazut - o lucrand la noi prin preajma dar incerc gand sa ne ajute pe cei ce eram prezenti acolo, si ne - a evitat desi i - am facut invitatie sa ne ajute. dupa vre - o jumate de ora de stat pe loc cu ea pe standuri, am plecat spre casa si mi - am luat inima in dinti, pentru ca imi functiona doar o frana, noroc ca nu stateam departe de magazin. o alta cauza este de la modul de punere in spate a lor, care din pacate lasa de dorit. sunt lipite una de alta, roata din spate se descentreaza pentru ca stau mult in loc de partea dreapta in care e normal sa fie amplasata. dupa cateva biciclete "" "" trase la mana "" "" am reusit sa gasim una cat de cat cu roata spate in stare conditii din punct de vedere al uzurului, ce poate fi pusa ulterior. o janta care nu mai poate fi tinuta si necesita schimbarea! ar fi grozav daca si cei ce sunt colegi de noi, ar fi persoane dornice de a - si face treaba si care sa ne ajute fara a le cerea, ceea ce s - ar materializa intr - un plus si pentru noi si pentru voi : ). zi buna."
"Niciodata nu am asteptat atat de mult pentru o comanda online iar produsele din magazinul online nu corespund cu stocul, cat despre calitate nu sunt deloc incantata. Imi pare foarte rau.",431939,"{'choices': ['quality - negative', 'delivery - negative', 'shop organization - negative']}",22,quality; delivery; shop organization,quality; delivery; shop organization,Negative; Negative; Negative,manual,"Niciodata nu am asteptat atat de mult pentru o comanda online iar produsele din magazinul online nu corespund cu stocul, cat despre calitate nu sunt deloc incantata. Imi pare foarte rau.",". niciodata nu am platit atat de mult pentru o oferta online iar produsele din magazin nu corespund cu stocul, cat despre calitate nu sunt deloc ok. imi pare foarte rau."
Am dat o comanda de 300 lei acum 10zile si inca nu a ajuns,431940,delivery - negative,22,delivery,delivery,Negative,manual,Am dat o comanda de 300 lei acum 10zile si inca nu a ajuns,. am dat o suma de 300 lei acum 10zile si inca nu a ajuns
"E  drept  ca  am  fost  duminica  in  magazin , era  o  aglomeratie  foarte  mare , singurul  lucru  care  mi-a  displacut  a  fost  totala  lipsa  de  organizare  de  la  cabinele  de  proba , produse  unul  peste  altul , nestranse , e  drept  ca  este  vina  vizitatorilor , dar  stiindu-se  aceasta  meteahna  a  clientilor  cred  ca  ar  trebui  cineva  care  sa  se  ocupe  strict  de  acest  aspect .Eu  colaborez  si  ca  Mystery  Shoping , deci  am  un  defect  profesional  in  a  observa  detalii .",431942,"{'choices': ['environment - negative', 'shop organization - negative', 'staff competency - negative']}",22,environment; shop organization; staff competency,environment; shop organization; staff competency,Negative; Negative; Negative,manual,"E drept ca am fost duminica in magazin , era o aglomeratie foarte mare , singurul lucru care mi-a displacut a fost totala lipsa de organizare de la cabinele de proba , produse unul peste altul , nestranse , e drept ca este vina vizitatorilor , dar stiindu-se aceasta meteahna a clientilor cred ca ar trebui cineva care sa se ocupe strict de acest aspect .Eu colaborez si ca Mystery Shoping , deci am un defect profesional in a observa detalii .",". e drept ca am fost duminica in mall, era o coada foarte mare, singurul lucru care mi - a displacut a fost numarul de oameni de la cabinele de proba, puse unul peste altul, da, e drept ca este vina vizitatorilor, dar pare - se aceasta meteahna a clientilor cred ca ar trebui cineva care sa se ocupe strict de acest aspect. eu colaborez si ca mystere shoping, deci am un interes in a observa totul."
La pantalonii Arpenaz 20 e atasat un film de prezentare care nu are nici o legatura cu produsul(e pt Forclaz 100). In magazin pantalonii Forclaz 100 modul nu sunt pe stoc.,431943,"{'choices': ['shop diversity - negative', 'tech support - negative']}",22,shop diversity; tech support,shop diversity; tech support,Negative; Negative,manual,La pantalonii Arpenaz 20 e atasat un film de prezentare care nu are nici o legatura cu produsul(e pt Forclaz 100). In magazin pantalonii Forclaz 100 modul nu sunt pe stoc.,. la poza arpenaz 20 e atasat un cod de produs care nu are nici o legatura cu produsul ( e pentru forclaz 100 ). in magazin pantalonii forclaz 100 nici nu sunt pe stoc.
"La intrare daca ai si alte cumparaturi agentul de paza te sfatuieste sa nici nu intri in magazin, norocul dvs. e ca sunt client vechi si fidel chiar daca nu tot timpul am la mine cardul de fidelitate. Oricum mi-e groaza ca trebuie sa fac scandal ca sa imi introduca cardul la case pe baza adresei de email.",431946,"{'choices': ['security - negative', 'service - negative', 'staff competency - negative']}",22,security; service; staff competency,security; service; staff competency,Negative; Negative; Negative,manual,"La intrare daca ai si alte cumparaturi agentul de paza te sfatuieste sa nici nu intri in magazin, norocul dvs. e ca sunt client vechi si fidel chiar daca nu tot timpul am la mine cardul de fidelitate. Oricum mi-e groaza ca trebuie sa fac scandal ca sa imi introduca cardul la case pe baza adresei de email.",". la noi daca ai si alte cumparaturi agentul de paza te sfatuieste sa nici nu intri in cont, scuza dvs. e ca sunt client vechi si fidel chiar daca nu tot timpul am la mine cartea de mail. oricum mi - e teama ca o sa fac scandal ca sa imi introduca bani la case pe baza adresei de email."
"Nu am gasit ceea ce cautam asa ca am mers degeaba la magazin. Acum am facut comanda online pentru ce ma interesa, dar nu am primit niciun raspuns inca.",431951,"{'choices': ['service - negative', 'shop diversity - negative']}",22,service; shop diversity,service; shop diversity,Negative; Negative,manual,"Nu am gasit ceea ce cautam asa ca am mers degeaba la magazin. Acum am facut comanda online pentru ce ma interesa, dar nu am primit niciun raspuns inca.",". nu am gasit ceea ce cautam asa ca am mers degeaba la magazin. acum am facut unul online pentru ce ma interesa, dar nu am gasit niciun produs inca."
Încerc sa înțeleg de ce îmi cereți feedback pentru comanda și feedback pentru produs in condițiile in care comanda (plasata acum 15 zile) încă nu a fost livrata. Pentru moment nu pot spune nimic despre produse dar pot spune ca fiind deja la a treia comanda cu probleme (una online și doua in magazin) mi-am format o părere proasta despre a încerca sa cumpăr ceva care nu e pe stoc in momentul respectiv.,431954,delivery - negative,22,delivery,delivery,Negative,manual,Încerc sa înțeleg de ce îmi cereți feedback pentru comanda și feedback pentru produs in condițiile in care comanda (plasata acum 15 zile) încă nu a fost livrata. Pentru moment nu pot spune nimic despre produse dar pot spune ca fiind deja la a treia comanda cu probleme (una online și doua in magazin) mi-am format o părere proasta despre a încerca sa cumpăr ceva care nu e pe stoc in momentul respectiv.,? încerc sa înțeleg de ce îmi cereți feedback pentru site și feedback pentru produs in condițiile in care prima ( de acum 15 zile ) încă nu a fost livrata. pentru moment nu pot spune nimic despre produse dar pot spune ca fiind deja la a treia comanda cu probleme ( una online și doua in posta ) mi - am format o imagine despre a evita sa cumpăr ceva care nu e pe stoc in momentul respectiv.
